Rank,Player,Nationality,Position,Age,Birth_Year,Matches_Played,Games_Started,Minutes,X90s_Played,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Expected_Goals_Per_90,Exp_Assisted_Goals_Per_90,Exp_Goals_Plus_Exp_Assists_Per_90,Non_Penalty_xG_Per_90,Non_Penalty_xG_Plus_Exp_Assists_Per_90,Progressive_Carries_Per_90,Progressive_Passes_Per_90,Progressive_Passes_Received_Per_90,Yellow_Cards_Per_90,Red_Cards_Per_90,Penalties_Attempted_Per_90,Tackles_Per_90,Tackles_Won_Per_90,Tackles_Def_3rd_Per_90,Tackles_Mid_3rd_Per_90,Tackles_Att_3rd_Per_90,Dribblers_Tackled_Per_90,Dribbles_Challenged_Per_90,Challenges_Lost_Per_90,Blocks_Per_90,Shots_Blocked_Per_90,Passes_Blocked_Per_90,Interceptions_Per_90,Tackles_Plus_Interceptions_Per_90,Clearances_Per_90,Errors_Leading_To_Shot_Per_90,name_key_1,comp_key_1,player_market_value_euro,current_club,comp_name,player_url,Main_Position,tactical_roles_kmeans,tactical_roles_hdbscan,tactical_role_name,umap_x,umap_y,hdbscan_probabilities,model_label
625,Aaron Cresswell,eng ENG,DF,34,1989,18,10,824,9.2,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,0.6521739130434783,3.91304347826087,0.4347826086956522,0.3260869565217391,0.0,0.0,1.1956521739130437,0.7608695652173914,0.5434782608695653,0.5434782608695653,0.108695652173913,0.9782608695652176,1.1956521739130437,0.2173913043478261,0.9782608695652176,0.4347826086956522,0.5434782608695653,0.8695652173913044,2.065217391304348,4.021739130434783,0.0,AARON CRESSWELL,AARON CRESSWELL_1989,500000.0,Stoke City,Premier League,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,DF,3,-1,Hybrid Players,7.279022,7.597257,0.0,0
2744,Aaron Wan-Bissaka,cd COD,DF,26,1997,36,35,3154,35.0,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,3.142857142857143,4.257142857142857,4.771428571428571,0.0285714285714285,0.0,0.0,2.0,1.4,0.9428571428571428,0.9142857142857144,0.1428571428571428,0.6571428571428571,0.9142857142857144,0.2571428571428571,1.0571428571428572,0.3142857142857143,0.7428571428571429,1.8857142857142857,3.8857142857142857,3.571428571428572,0.0,AARON WAN-BISSAKA,AARON WAN-BISSAKA_1997,24000000.0,West Ham United,Premier League,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,DF,4,6,Box-box / All rounder,5.6306825,6.0302453,1.0,7
1638,Aarón Martín,es ESP,DF,27,1997,36,35,3085,34.3,0.0,0.23,0.23,0.0,0.23,0.03,0.16,0.19,0.03,0.19,1.457725947521866,2.623906705539359,3.1486880466472305,0.1457725947521866,0.0,0.0,2.0699708454810497,1.370262390670554,1.1953352769679302,0.7580174927113703,0.1166180758017492,0.9620991253644317,1.4868804664723034,0.5247813411078718,0.9620991253644317,0.3206997084548105,0.641399416909621,0.5539358600583091,2.623906705539359,2.1282798833819245,0.0291545189504373,AARON MARTIN,AARON MARTIN_1997,6500000.0,Genoa CFC,Serie A,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878,DF,4,6,Box-box / All rounder,5.525553,5.853309,1.0,7
2534,Abakar Sylla,ci CIV,DF,21,2002,21,10,950,10.6,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,0.0,1.981132075471698,0.2830188679245283,0.1886792452830188,0.0943396226415094,0.0,2.547169811320755,1.4150943396226416,1.3207547169811322,1.0377358490566038,0.1886792452830188,1.4150943396226416,1.6037735849056605,0.1886792452830188,1.69811320754717,0.9433962264150944,0.7547169811320755,1.0377358490566038,3.5849056603773586,5.943396226415095,0.0,ABAKAR SYLLA,ABAKAR SYLLA_2002,10000000.0,FC Nantes,Ligue 1,https://www.transfermarkt.com/abakar-sylla/profil/spieler/962555,DF,3,1,Traditional Centre Backs / Blockers ,9.268266,7.064742,0.7245156339099812,2
2423,Abdallah Sima,sn SEN,"FW,MF",23,2001,27,14,1238,13.8,0.51,0.15,0.65,0.51,0.65,0.43,0.07,0.5,0.43,0.5,2.608695652173913,1.7391304347826086,6.666666666666666,0.144927536231884,0.0,0.0,1.0869565217391304,0.7971014492753623,0.144927536231884,0.3623188405797101,0.5797101449275363,0.2898550724637681,0.7971014492753623,0.5072463768115941,0.6521739130434783,0.072463768115942,0.5797101449275363,0.072463768115942,1.1594202898550725,0.6521739130434783,0.0,ABDALLAH SIMA,ABDALLAH SIMA_2001,9000000.0,RC Lens,Ligue 1,https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798,FW,0,0,Goals Scorers / Finishers,0.831926,6.092587,0.7003727499705968,1
865,Abde Ezzalzouli,ma MAR,"FW,MF",22,2001,32,23,1984,22.0,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42,5.318181818181818,3.090909090909091,9.772727272727272,0.0909090909090909,0.0,0.0454545454545454,1.681818181818182,1.1363636363636365,0.7727272727272727,0.7272727272727273,0.1818181818181818,0.6818181818181818,1.2272727272727273,0.5454545454545454,1.0,0.1363636363636363,0.8636363636363636,0.3181818181818182,2.0,0.8636363636363636,0.0,ABDE EZZALZOULI,ABDE EZZALZOULI_2001,12000000.0,Real Betis Balompié,LaLiga,https://www.transfermarkt.com/abde-ezzalzouli/profil/spieler/724520,FW,2,4,Wingers / Ball Carriers,2.1156113,5.1358128,0.8329623816902132,5
16,Abdel Abqar,ma MAR,DF,25,1999,29,29,2463,27.4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,0.5839416058394161,2.883211678832117,0.145985401459854,0.4744525547445256,0.0,0.0,1.3138686131386863,0.8394160583941607,0.8759124087591241,0.4014598540145985,0.0364963503649635,0.7299270072992701,1.2408759124087592,0.5109489051094891,1.0218978102189782,0.6569343065693432,0.364963503649635,1.4233576642335768,2.737226277372263,5.328467153284672,0.0364963503649635,ABDEL ABQAR,ABDEL ABQAR_1999,7500000.0,Getafe CF,LaLiga,https://www.transfermarkt.com/abdel-abqar/profil/spieler/559979,DF,3,1,Traditional Centre Backs / Blockers ,9.564214,7.932305,0.8609177241518013,2
1129,Abdou Harroui,nl NED,"MF,FW",26,1998,10,5,463,5.1,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,4.509803921568627,4.11764705882353,6.666666666666667,0.196078431372549,0.0,0.0,1.7647058823529411,1.1764705882352942,1.1764705882352942,0.5882352941176471,0.0,0.7843137254901962,0.7843137254901962,0.0,0.9803921568627452,0.0,0.9803921568627452,0.3921568627450981,2.1568627450980395,0.9803921568627452,0.0,ABDOU HARROUI,ABDOU HARROUI_1998,1800000.0,Hellas Verona,Serie A,https://www.transfermarkt.com/abdou-harroui/profil/spieler/416386,MF,2,4,Wingers / Ball Carriers,1.9135747,4.6285477,1.0,5
2004,Abdoul Ouattara,fr FRA,"DF,FW",18,2005,17,3,471,5.2,0.19,0.19,0.38,0.19,0.38,0.06,0.1,0.16,0.06,0.16,1.346153846153846,3.461538461538461,2.692307692307692,0.1923076923076923,0.0,0.0,1.1538461538461535,0.7692307692307692,0.5769230769230769,0.1923076923076923,0.3846153846153846,0.5769230769230769,0.9615384615384616,0.3846153846153846,1.923076923076923,0.0,1.923076923076923,1.7307692307692306,2.8846153846153846,2.3076923076923075,0.3846153846153846,ABDOUL OUATTARA,ABDOUL OUATTARA_2005,1200000.0,RC Strasbourg Alsace,Ligue 1,https://www.transfermarkt.com/abdoul-ouattara/profil/spieler/991487,DF,4,-1,Hybrid Players,8.891851,6.079194,0.0,0
222,Abdoulaye Bamba,ci CIV,DF,34,1990,19,16,1510,16.8,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,0.0595238095238095,0.9523809523809524,0.1785714285714285,0.119047619047619,0.0,0.0,1.3095238095238095,0.7142857142857143,1.011904761904762,0.238095238095238,0.0595238095238095,0.8333333333333333,1.130952380952381,0.2976190476190476,0.8333333333333333,0.4761904761904761,0.3571428571428571,1.130952380952381,2.4404761904761902,4.7023809523809526,0.0,ABDOULAYE BAMBA,ABDOULAYE BAMBA_1990,300000.0,Angers SCO,Ligue 1,https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351,DF,3,1,Traditional Centre Backs / Blockers ,9.704446,8.878033,0.6993126409344407,2
